         203723 function calls (199165 primitive calls) in 14.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29/28    0.000    0.000    0.049    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
    29/28    0.046    0.002    0.048    0.002 {built-in method _imp.create_dynamic}
       43    0.000    0.000    0.044    0.001 socket.py:731(getaddrinfo)
       43    0.038    0.001    0.043    0.001 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.041    0.041 __init__.py:1887(wm_iconphoto)
       43    0.001    0.000    0.041    0.001 ImageFile.py:150(load)
       47    0.000    0.000    0.038    0.001 ttk.py:602(__init__)
        1    0.000    0.000    0.037    0.037 client.py:69(<module>)
        1    0.000    0.000    0.031    0.031 app.py:99(bye)
       43    0.031    0.001    0.031    0.001 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.031    0.031 __init__.py:2058(destroy)
      317    0.001    0.000    0.030    0.000 overrides.py:154(decorator)
       45    0.000    0.000    0.030    0.001 ttk.py:748(__init__)
        1    0.000    0.000    0.025    0.025 ImageTk.py:28(<module>)
      224    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.024    0.024 Image.py:27(<module>)
        1    0.000    0.000    0.024    0.024 parser.py:5(<module>)
      224    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.023    0.023 feedparser.py:20(<module>)
        1    0.000    0.000    0.021    0.021 _policybase.py:4(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:31(<module>)
        2    0.000    0.000    0.019    0.010 __init__.py:45(<module>)
        1    0.000    0.000    0.019    0.019 index_tricks.py:1(<module>)
      332    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      490    0.001    0.000    0.018    0.000 re.py:271(_compile)
       43    0.000    0.000    0.017    0.000 Image.py:347(preinit)
    96/94    0.000    0.000    0.017    0.000 __init__.py:2302(destroy)
       63    0.000    0.000    0.017    0.000 re.py:232(compile)
  655/652    0.010    0.000    0.017    0.000 {built-in method builtins.__build_class__}
      305    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.016    0.016 __init__.py:7(<module>)
       42    0.016    0.000    0.016    0.000 {built-in method nt.remove}
       65    0.000    0.000    0.016    0.000 sre_compile.py:759(compile)
       43    0.000    0.000    0.016    0.000 ImageTk.py:85(__init__)
       43    0.001    0.000    0.015    0.000 client.py:203(parse_headers)
        1    0.000    0.000    0.015    0.015 tempfile.py:24(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:124(<module>)
      317    0.015    0.000    0.015    0.000 {built-in method builtins.compile}
      186    0.014    0.000    0.014    0.000 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.014    0.014 shutil.py:5(<module>)
        1    0.000    0.000    0.014    0.014 _pickle.py:1(<module>)
        1    0.014    0.014    0.014    0.014 {built-in method _sqlite3.connect}
    10965    0.013    0.000    0.013    0.000 {method 'extend' of 'bytearray' objects}
        1    0.000    0.000    0.013    0.013 utils.py:5(<module>)
       43    0.000    0.000    0.012    0.000 ImageTk.py:151(paste)
       43    0.001    0.000    0.012    0.000 parser.py:60(parsestr)
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
       43    0.000    0.000    0.012    0.000 parser.py:42(parse)
        1    0.000    0.000    0.012    0.012 multiarray.py:7(<module>)
      224    0.012    0.000    0.012    0.000 {method 'read' of '_io.FileIO' objects}
      224    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.010    0.010 __init__.py:3(<module>)
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
       43    0.000    0.000    0.009    0.000 feedparser.py:173(feed)
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
    29/25    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       65    0.000    0.000    0.009    0.000 sre_parse.py:919(parse)
    29/25    0.002    0.000    0.009    0.000 {built-in method _imp.exec_dynamic}
       44    0.000    0.000    0.009    0.000 __init__.py:3540(__init__)
       86    0.000    0.000    0.008    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.008    0.008 bz2.py:5(<module>)
       44    0.000    0.000    0.008    0.000 __init__.py:3484(__init__)
   170/65    0.000    0.000    0.008    0.000 sre_parse.py:417(_parse_sub)
       86    0.001    0.000    0.008    0.000 feedparser.py:218(_parsegen)
       43    0.008    0.000    0.008    0.000 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
   199/72    0.003    0.000    0.008    0.000 sre_parse.py:475(_parse)
       43    0.000    0.000    0.008    0.000 socket.py:406(_decref_socketios)
       86    0.000    0.000    0.007    0.000 socket.py:416(close)
        1    0.000    0.000    0.007    0.007 __init__.py:15(<module>)
       43    0.003    0.000    0.007    0.000 ssl.py:1128(_real_close)
     1135    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x00007FFE347259A0}
      321    0.001    0.000    0.007    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.007    0.007 header.py:5(<module>)
       65    0.000    0.000    0.007    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.007    0.007 __init__.py:23(<module>)
        1    0.000    0.000    0.006    0.006 _distributor_init.py:7(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
        1    0.000    0.000    0.006    0.006 socket.py:47(<module>)
        1    0.000    0.000    0.006    0.006 linalg.py:10(<module>)
       43    0.001    0.000    0.006    0.000 Image.py:2893(_open_core)
        1    0.000    0.000    0.006    0.006 __init__.py:10(<module>)
        1    0.000    0.000    0.006    0.006 _internal.py:6(<module>)
      271    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.006    0.006 ElementTree.py:34(<module>)
        1    0.000    0.000    0.006    0.006 dbapi2.py:23(<module>)
        1    0.000    0.000    0.005    0.005 JpegImagePlugin.py:34(<module>)
       43    0.000    0.000    0.005    0.000 ssl.py:398(__new__)
        1    0.000    0.000    0.005    0.005 __init__.py:71(search_function)
        1    0.000    0.000    0.005    0.005 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:91(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:3(<module>)
        2    0.000    0.000    0.005    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:184(<module>)
        1    0.000    0.000    0.005    0.005 threading.py:1(<module>)
       43    0.000    0.000    0.005    0.000 ImageFile.py:284(load_prepare)
        2    0.005    0.002    0.005    0.002 {method 'eval' of '_tkinter.tkapp' objects}
       43    0.000    0.000    0.005    0.000 socket.py:412(_real_close)
       43    0.005    0.000    0.005    0.000 {built-in method PIL._imaging.new}
       43    0.005    0.000    0.005    0.000 {function socket.close at 0x000002977E5B0048}
       45    0.000    0.000    0.005    0.000 __init__.py:1478(configure)
       43    0.000    0.000    0.005    0.000 JpegImagePlugin.py:780(jpeg_factory)
       45    0.000    0.000    0.005    0.000 __init__.py:1466(_configure)
   345/65    0.002    0.000    0.004    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.004    0.004 defchararray.py:17(<module>)
     2468    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      287    0.001    0.000    0.004    0.000 overrides.py:72(verify_matching_signatures)
       43    0.001    0.000    0.004    0.000 ssl.py:1023(sendall)
      593    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.004    0.004 idna.py:3(<module>)
        1    0.000    0.000    0.004    0.004 webbrowser.py:2(<module>)
        2    0.000    0.000    0.004    0.002 app.py:121(delete_but)
       43    0.000    0.000    0.004    0.000 ImageFile.py:90(__init__)
      448    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      414    0.001    0.000    0.004    0.000 enum.py:284(__call__)
       28    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
       27    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      685    0.004    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
       43    0.000    0.000    0.004    0.000 request.py:325(__init__)
        1    0.000    0.000    0.004    0.004 financial.py:12(<module>)
      281    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
       12    0.000    0.000    0.004    0.000 enum.py:633(_convert)
        1    0.000    0.000    0.004    0.004 message.py:5(<module>)
       43    0.001    0.000    0.004    0.000 JpegImagePlugin.py:339(_open)
       43    0.000    0.000    0.003    0.000 ssl.py:996(send)
        1    0.000    0.000    0.003    0.003 TiffImagePlugin.py:41(<module>)
       43    0.001    0.000    0.003    0.000 feedparser.py:471(_parse_headers)
       43    0.003    0.000    0.003    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       16    0.002    0.000    0.003    0.000 enum.py:135(__new__)
       12    0.003    0.000    0.003    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
      477    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
     1462    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.003    0.003 ImagePalette.py:19(<module>)
        2    0.000    0.000    0.003    0.002 app.py:125(delete_video_names)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
       28    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
      253    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      590    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 case.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:81(<module>)
      618    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
      150    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.003    0.003 _pocketfft.py:29(<module>)
       12    0.000    0.000    0.003    0.000 enum.py:389(_create_)
        1    0.000    0.000    0.003    0.003 api.py:1(<module>)
      273    0.000    0.000    0.003    0.000 function_base.py:441(add_newdoc)
      321    0.000    0.000    0.002    0.000 re.py:185(sub)
       43    0.002    0.000    0.002    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
5407/5313    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
      387    0.001    0.000    0.002    0.000 message.py:462(get)
        2    0.000    0.000    0.002    0.001 shape_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 type_check.py:3(<module>)
       43    0.000    0.000    0.002    0.000 request.py:307(request_host)
       65    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
       23    0.000    0.000    0.002    0.000 overrides.py:200(decorator)
        1    0.000    0.000    0.002    0.002 quoprimime.py:27(<module>)
     2468    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        3    0.000    0.000    0.002    0.001 glob.py:9(glob)
       46    0.000    0.000    0.002    0.000 glob.py:39(_iglob)
