         167619 function calls (163127 primitive calls) in 13.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       49    0.000    0.000    0.048    0.001 ttk.py:535(__init__)
        1    0.000    0.000    0.040    0.040 __init__.py:1887(wm_iconphoto)
        1    0.000    0.000    0.040    0.040 app.py:99(bye)
        1    0.000    0.000    0.040    0.040 __init__.py:2058(destroy)
       21    0.038    0.002    0.038    0.002 {method 'resize' of 'ImagingCore' objects}
        1    0.000    0.000    0.036    0.036 client.py:69(<module>)
       42    0.001    0.000    0.035    0.001 {method 'close' of '_io.BufferedReader' objects}
       21    0.000    0.000    0.035    0.002 client.py:408(_close_conn)
       21    0.030    0.001    0.034    0.002 socket.py:652(close)
      317    0.001    0.000    0.030    0.000 overrides.py:154(decorator)
        1    0.000    0.000    0.026    0.026 ImageTk.py:28(<module>)
       21    0.000    0.000    0.025    0.001 socket.py:731(getaddrinfo)
      224    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       21    0.020    0.001    0.024    0.001 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.024    0.024 Image.py:27(<module>)
      224    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.023    0.023 parser.py:5(<module>)
       23    0.000    0.000    0.023    0.001 ttk.py:748(__init__)
        1    0.000    0.000    0.022    0.022 feedparser.py:20(<module>)
       25    0.000    0.000    0.022    0.001 ttk.py:602(__init__)
        1    0.000    0.000    0.020    0.020 __init__.py:31(<module>)
        2    0.000    0.000    0.020    0.010 __init__.py:45(<module>)
        1    0.000    0.000    0.020    0.020 _policybase.py:4(<module>)
        1    0.000    0.000    0.019    0.019 index_tricks.py:1(<module>)
       21    0.000    0.000    0.019    0.001 ImageFile.py:150(load)
      490    0.001    0.000    0.018    0.000 re.py:271(_compile)
      332    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.017    0.017 __init__.py:7(<module>)
       63    0.000    0.000    0.017    0.000 re.py:232(compile)
  655/652    0.010    0.000    0.017    0.000 {built-in method builtins.__build_class__}
       21    0.000    0.000    0.017    0.001 Image.py:347(preinit)
      305    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       40    0.016    0.000    0.016    0.000 {built-in method nt.remove}
       65    0.000    0.000    0.016    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.015    0.015 __init__.py:124(<module>)
        1    0.000    0.000    0.015    0.015 tempfile.py:24(<module>)
      317    0.014    0.000    0.014    0.000 {built-in method builtins.compile}
       21    0.014    0.001    0.014    0.001 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.014    0.014 _pickle.py:1(<module>)
        1    0.000    0.000    0.014    0.014 shutil.py:5(<module>)
      224    0.013    0.000    0.013    0.000 {method 'read' of '_io.FileIO' objects}
