WITHOUT ANY DATABASE

         122704 function calls (118559 primitive calls) in 7.704 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 _distributor_init.py:7(<module>)
        1    0.000    0.000    0.006    0.006 linalg.py:10(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:23(<module>)
        1    0.000    0.000    0.006    0.006 ElementTree.py:34(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:10(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
        1    0.000    0.000    0.006    0.006 _internal.py:6(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:3540(__init__)
        1    0.000    0.000    0.006    0.006 __init__.py:3484(__init__)
       59    0.000    0.000    0.005    0.000 sre_compile.py:598(_code)
      250    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.005    0.005 socket.py:47(<module>)
        1    0.000    0.000    0.005    0.005 threading.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:91(<module>)
        1    0.000    0.000    0.005    0.005 dbapi2.py:23(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:3(<module>)
        2    0.005    0.002    0.005    0.002 {method 'eval' of '_tkinter.tkapp' objects}
        2    0.000    0.000    0.005    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:184(<module>)
      287    0.001    0.000    0.004    0.000 overrides.py:72(verify_matching_signatures)
        1    0.000    0.000    0.004    0.004 defchararray.py:17(<module>)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
        1    0.000    0.000    0.004    0.004 webbrowser.py:2(<module>)
      562    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     2335    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
        1    0.000    0.000    0.004    0.004 financial.py:12(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
   308/59    0.001    0.000    0.004    0.000 sre_compile.py:71(_compile)
        4    0.000    0.000    0.004    0.001 ttk.py:602(__init__)
      412    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       26    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       26    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       12    0.000    0.000    0.004    0.000 enum.py:633(_convert)
      642    0.003    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.003    0.003 message.py:5(<module>)
       16    0.002    0.000    0.003    0.000 enum.py:135(__new__)
